SessionID;Date;CustomerID;CampaignID;Source;Medium;PageViews;EngagedSessions;Conversion
SID-00134;24.04.2025;CUST-1093;(not set);(direct);none;3;1;0
SID-00134;(not set);(not set);(not set);(direct);none;;;
SID-00135;15.12.2024;CUST-1417;CMP-01;facebook;social;7;1;1
SID-00136;06.09.2023;CUST-2016;(not set);instagram;social;3;1;0
SID-00137;06.05.2023;CUST-2083;(not set);bing;cpc;3;0;0
SID-00138;18.07.2024;CUST-1390;(not set);bing;cpc;3;0;0
SID-00139;09.02.2025;CUST-2014;CMP-04;google;cpc;5;1;0
SID-00140;16.10.2024;CUST-1807;CMP-14;newsletter;email;1;0;0
SID-00141;30.11.2023;CUST-2400;CMP-13;youtube;video;1;1;0
SID-00142;18.06.2023;CUST-1728;CMP-07;bing;cpc;7;1;0
SID-00143;20.08.2024;CUST-1229;(not set);facebook;social;2;0;0
SID-00144;18.05.2025;CUST-1816;(not set);facebook;social;3;1;0
SID-00145;30.09.2024;CUST-1691;CMP-01;newsletter;email;5;1;0
SID-00146;22.02.2025;CUST-1864;CMP-04;(direct);none;4;1;1
SID-00147;04.07.2024;CUST-2454;(not set);(direct);none;2;1;0
SID-00148;19.05.2024;CUST-1198;(not set);instagram;social;1;1;0
SID-00149;01.01.2025;CUST-1848;CMP-14;facebook;social;1;1;0
SID-00150;28.03.2025;CUST-1985;(not set);google;cpc;3;1;1
SID-00151;31.05.2024;CUST-2244;CMP-09;google;cpc;3;0;0
SID-00152;22.07.2023;CUST-2392;(not set);google;cpc;4;0;0
SID-00153;16.04.2024;CUST-2151;(not set);google;cpc;1;1;1
SID-00154;16.10.2023;CUST-2157;CMP-08;newsletter;email;3;1;0
SID-00155;20.02.2023;CUST-1140;CMP-10;newsletter;email;5;0;0
SID-00156;09.10.2024;CUST-1255;(not set);(direct);none;2;1;0
SID-00157;27.04.2025;CUST-1895;(not set);(direct);none;3;1;0
SID-00158;10.09.2023;CUST-1074;(not set);instagram;social;5;1;0
SID-00159;13.03.2023;CUST-2068;(not set);facebook;social;5;0;0
SID-00160;16.04.2025;CUST-1950;CMP-01;google;cpc;3;1;0
SID-00161;11.12.2023;CUST-2146;(not set);google;cpc;9;1;1
SID-00162;27.08.2024;CUST-1071;(not set);youtube;video;9;1;0
SID-00163;16.09.2025;CUST-1282;CMP-11;instagram;social;4;1;0
SID-00164;13.06.2025;CUST-1707;CMP-07;facebook;social;2;0;0
SID-00165;05.07.2024;CUST-2363;CMP-11;google;cpc;3;1;0
SID-00162;27.08.2024;CUST-1071;(not set);youtube;video;9;1;0
SID-00163;16.09.2025;CUST-1282;CMP-11;instagram;social;4;1;0
SID-00164;13.06.2025;CUST-1707;CMP-07;facebook;social;2;0;0
SID-00165;05.07.2024;CUST-2363;CMP-11;google;cpc;3;1;0
SID-00166;18.05.2025;CUST-2295;CMP-02;(direct);none;1;0;0
SID-00167;18.09.2025;CUST-2242;(not set);bing;cpc;7;1;0
SID-00168;05.04.2024;CUST-2227;(not set);(direct);none;3;1;0
SID-00169;02.04.2024;CUST-1174;(not set);newsletter;email;7;1;0
SID-00170;06.06.2024;CUST-2288;CMP-10;youtube;video;2;1;1
SID-00171;02.03.2025;CUST-1940;(not set);google;cpc;5;1;0
SID-00172;15.09.2024;CUST-1219;(not set);bing;cpc;1;1;1
SID-00173;24.05.2024;CUST-1820;(not set);newsletter;email;3;1;0
SID-00174;06.07.2025;CUST-2123;CMP-11;newsletter;email;5;1;0
SID-00175;28.02.2024;CUST-1488;CMP-11;facebook;social;7;1;0
SID-00176;19.03.2025;CUST-2441;CMP-05;instagram;social;3;1;0
SID-00177;27.11.2023;CUST-2366;(not set);facebook;social;3;1;0
SID-00178;20.02.2024;CUST-1394;(not set);facebook;social;3;0;0
SID-00179;25.06.2023;CUST-2387;(not set);instagram;social;2;1;0
SID-00180;25.04.2023;CUST-1830;(not set);bing;cpc;5;1;0
SID-00181;08.12.2023;CUST-1595;(not set);newsletter;email;7;1;0
SID-00182;13.03.2023;CUST-1454;(not set);youtube;video;3;1;1
SID-00183;16.10.2024;CUST-1502;CMP-01;newsletter;email;2;1;0
SID-00184;21.04.2024;CUST-1343;CMP-04;google;cpc;5;0;0
SID-00185;26.06.2024;CUST-1060;CMP-14;(direct);none;9;1;0
SID-00186;18.02.2025;CUST-1449;(not set);facebook;social;1;0;0
SID-00187;21.10.2023;CUST-1332;CMP-12;youtube;video;3;0;0
SID-00188;26.05.2023;CUST-1433;CMP-03;google;cpc;9;1;0
SID-00189;30.10.2023;CUST-1183;(not set);newsletter;email;3;1;1
SID-00190;04.12.2024;CUST-1748;(not set);bing;cpc;2;0;0
SID-00191;06.09.2023;CUST-1594;(not set);youtube;video;3;0;0
SID-00192;01.04.2023;CUST-1584;CMP-09;bing;cpc;2;1;1
SID-00193;19.04.2023;CUST-1274;CMP-05;(direct);none;2;1;0
SID-00194;15.04.2025;CUST-2337;(not set);(direct);none;3;1;1
SID-00195;12.03.2023;CUST-1569;(not set);(direct);none;2;1;0
SID-00196;30.03.2024;CUST-2135;(not set);newsletter;email;2;0;0
SID-00197;23.05.2023;CUST-2387;CMP-08;google;cpc;3;0;0
SID-00197;23.05.2023;CUST-2387;CMP-08;google;cpc;3;0;0
SID-00198;10.02.2025;CUST-1383;(not set);google;cpc;3;1;0
SID-00199;20.08.2025;CUST-1238;(not set);youtube;video;7;0;0
SID-00200;22.01.2025;CUST-1580;(not set);bing;cpc;7;1;0
SID-00201;22.09.2023;CUST-2383;(not set);bing;cpc;2;1;0
SID-00202;17.04.2025;CUST-2356;(not set);instagram;social;3;1;0
SID-00203;19.12.2023;CUST-1043;(not set);google;cpc;2;1;0
SID-00204;15.01.2025;CUST-1291;(not set);facebook;social;3;1;0
SID-00205;17.03.2024;CUST-1078;(not set);google;cpc;5;0;0
SID-00206;06.11.2024;CUST-1936;CMP-14;(direct);none;4;1;1
SID-00207;13.12.2024;CUST-2096;CMP-12;google;cpc;5;0;0
SID-00208;25.01.2024;CUST-1882;(not set);instagram;social;3;0;0
SID-00209;16.01.2025;CUST-1757;(not set);newsletter;email;3;1;0
SID-00210;24.07.2025;CUST-1377;(not set);bing;cpc;3;1;0
SID-00211;18.12.2024;CUST-1117;(not set);google;cpc;2;1;1
SID-00212;20.07.2023;CUST-1486;(not set);instagram;social;2;1;0
SID-00213;07.01.2024;CUST-2259;(not set);(direct);none;3;1;0
SID-00214;03.10.2024;CUST-1706;(not set);facebook;social;3;1;1
SID-00215;28.08.2024;CUST-2279;CMP-08;instagram;social;3;1;0
SID-00216;13.10.2024;CUST-2410;(not set);(direct);none;7;1;0
SID-00217;17.11.2023;CUST-1418;CMP-07;google;cpc;2;0;0
SID-00218;26.06.2024;CUST-2394;CMP-08;newsletter;email;3;1;0
SID-00219;03.08.2025;CUST-2170;(not set);google;cpc;5;1;0
SID-00220;02.01.2025;CUST-1257;(not set);youtube;video;1;1;0
SID-00221;02.12.2023;CUST-1108;(not set);(direct);none;2;0;0
SID-00222;07.12.2023;CUST-1483;CMP-07;facebook;social;9;1;0
SID-00223;01.12.2023;CUST-1177;(not set);youtube;video;5;0;0
SID-00224;23.02.2024;CUST-2375;(not set);google;cpc;3;1;1
SID-00225;27.11.2023;CUST-2084;(not set);facebook;social;2;0;0
SID-00226;02.03.2025;CUST-1272;CMP-13;google;cpc;1;0;0
SID-00227;23.06.2023;CUST-1767;CMP-13;(direct);none;1;0;0
SID-00228;06.09.2025;CUST-1868;(not set);youtube;video;1;0;0
SID-00229;27.12.2023;CUST-1534;(not set);facebook;social;9;1;0
SID-00230;03.01.2024;CUST-1426;(not set);google;cpc;7;0;0
SID-00231;26.03.2023;CUST-2102;(not set);(direct);none;3;1;0
SID-00232;11.02.2024;CUST-2491;CMP-03;(direct);none;3;0;0
SID-00233;12.04.2025;CUST-1657;(not set);instagram;social;2;1;0
SID-00234;09.12.2024;CUST-1115;(not set);google;cpc;7;0;0
SID-00235;13.08.2023;CUST-2405;(not set);(direct);none;9;1;1
SID-00236;18.05.2024;CUST-1054;CMP-01;google;cpc;7;1;0
SID-00237;11.10.2023;CUST-2137;CMP-04;bing;cpc;3;1;1
SID-00238;04.05.2023;CUST-2016;CMP-06;(direct);none;3;0;0
SID-00239;06.10.2024;CUST-2134;(not set);instagram;social;3;0;0
SID-00240;17.02.2024;CUST-2247;CMP-13;bing;cpc;5;0;0
SID-00241;28.06.2023;CUST-1475;CMP-13;bing;cpc;2;0;0
SID-00242;02.12.2024;CUST-1456;(not set);bing;cpc;7;1;1
SID-00243;22.08.2023;CUST-2270;CMP-08;google;cpc;3;1;0
SID-00244;03.10.2023;CUST-1396;CMP-14;(direct);none;7;0;0
SID-00245;14.09.2025;CUST-1495;(not set);(direct);none;2;1;0
SID-00246;20.04.2025;CUST-2204;(not set);bing;cpc;5;0;0
SID-00247;11.11.2023;CUST-1949;CMP-10;newsletter;email;3;1;1
SID-00248;02.03.2025;CUST-1158;(not set);google;cpc;3;1;0
SID-00249;19.12.2024;CUST-2028;(not set);youtube;video;7;1;0
SID-00250;28.01.2024;CUST-2058;CMP-07;(direct);none;3;1;0
SID-00251;29.07.2023;CUST-1989;(not set);instagram;social;9;1;0
SID-00252;17.06.2025;CUST-1449;(not set);google;cpc;3;1;0
SID-00253;06.07.2025;CUST-2386;CMP-11;(direct);none;7;1;0
SID-00254;19.06.2024;CUST-1059;CMP-02;bing;cpc;5;1;0
SID-00255;02.01.2025;CUST-1877;(not set);(direct);none;3;1;0
SID-00256;04.01.2024;CUST-2036;CMP-07;facebook;social;2;1;0
SID-00257;15.02.2024;CUST-1544;(not set);newsletter;email;7;1;0
SID-00258;26.11.2023;CUST-1363;(not set);facebook;social;5;0;0
SID-00259;27.03.2023;CUST-1344;CMP-11;facebook;social;4;1;0
SID-00260;05.07.2025;CUST-1178;(not set);google;cpc;3;1;0
SID-00261;20.03.2023;CUST-2119;(not set);newsletter;email;2;1;0
SID-00262;25.01.2025;CUST-1412;CMP-13;(direct);none;2;0;0
SID-00263;03.12.2023;CUST-1347;CMP-03;facebook;social;1;0;0
SID-00264;04.07.2023;CUST-1432;CMP-09;bing;cpc;7;1;0
SID-00265;08.08.2023;CUST-1065;CMP-03;google;cpc;3;1;0
SID-00266;29.03.2024;CUST-2310;(not set);newsletter;email;9;1;0
SID-00267;14.08.2025;CUST-2490;(not set);(direct);none;1;1;1
SID-00268;09.07.2025;CUST-1912;(not set);facebook;social;7;1;0
SID-00269;28.03.2023;CUST-1892;(not set);newsletter;email;3;1;0
SID-00270;28.09.2023;CUST-2059;CMP-09;newsletter;email;7;1;1
SID-00271;04.08.2025;CUST-1653;CMP-11;instagram;social;9;0;0
SID-00272;27.10.2023;CUST-1259;CMP-05;youtube;video;3;0;0
SID-00273;18.07.2025;CUST-2343;CMP-11;google;cpc;3;1;0
SID-00274;09.03.2023;CUST-2471;(not set);bing;cpc;3;1;0
SID-00275;28.04.2025;CUST-1677;CMP-10;google;cpc;5;1;0
SID-00276;21.07.2024;CUST-1379;(not set);google;cpc;3;1;0
SID-00277;07.07.2024;CUST-2482;(not set);facebook;social;3;0;0
SID-00278;02.10.2024;CUST-1528;CMP-14;instagram;social;5;1;1
SID-00279;05.07.2024;CUST-1897;CMP-03;google;cpc;3;1;0
SID-00280;24.06.2024;CUST-2094;CMP-01;newsletter;email;3;1;0
SID-00281;30.12.2024;CUST-2213;(not set);youtube;video;3;1;0
SID-00282;04.03.2023;CUST-1643;(not set);instagram;social;4;0;0
SID-00283;01.11.2023;CUST-1134;CMP-05;bing;cpc;9;1;0
SID-00284;10.03.2024;CUST-1620;CMP-13;google;cpc;2;1;0
SID-00285;13.11.2023;CUST-1767;CMP-02;google;cpc;2;0;0
SID-00286;08.01.2024;CUST-1489;CMP-09;bing;cpc;4;1;1
SID-00287;25.07.2024;CUST-2273;(not set);google;cpc;3;0;0
SID-00288;23.10.2023;CUST-1150;(not set);bing;cpc;1;1;0
SID-00289;22.09.2025;CUST-2340;(not set);(direct);none;3;1;0
SID-00290;28.01.2025;CUST-2344;(not set);(direct);none;4;0;0
SID-00291;30.05.2024;CUST-1790;(not set);google;cpc;2;1;0
SID-00292;23.12.2023;CUST-1716;CMP-08;(direct);none;3;1;1
SID-00293;27.06.2025;CUST-1845;(not set);instagram;social;2;0;0
SID-00294;03.07.2023;CUST-1664;(not set);newsletter;email;3;1;0
SID-00295;09.08.2023;CUST-1045;(not set);instagram;social;1;1;1
SID-00296;14.05.2025;CUST-1904;(not set);youtube;video;3;0;0
SID-00297;24.05.2025;CUST-2432;(not set);newsletter;email;2;1;0
SID-00298;20.04.2025;CUST-2042;(not set);google;cpc;3;1;0
SID-00299;09.04.2023;CUST-1624;CMP-10;google;cpc;2;0;0
SID-00300;30.03.2023;CUST-1539;CMP-08;google;cpc;3;1;0
SID-00301;27.04.2023;CUST-1501;(not set);bing;cpc;5;1;0
SID-00302;15.06.2025;CUST-2431;(not set);(direct);none;2;1;0
SID-00303;10.06.2023;CUST-2500;(not set);facebook;social;5;0;0
SID-00304;24.04.2025;CUST-2135;CMP-01;(direct);none;7;0;0
SID-00305;30.09.2025;CUST-1889;CMP-07;google;cpc;2;1;1
SID-00306;09.05.2024;CUST-2374;(not set);google;cpc;7;1;0
SID-00307;29.03.2024;CUST-1352;(not set);facebook;social;4;0;0
SID-00308;22.01.2024;CUST-1451;(not set);facebook;social;5;1;1
SID-00309;15.05.2023;CUST-2111;(not set);google;cpc;4;1;1
SID-00310;28.04.2024;CUST-2205;(not set);(direct);none;3;0;0
SID-00311;21.11.2024;CUST-1471;CMP-08;instagram;social;4;1;1
SID-00312;05.12.2023;CUST-2179;(not set);google;cpc;5;1;1
SID-00313;22.06.2025;CUST-1009;(not set);facebook;social;3;0;0
SID-00314;03.10.2024;CUST-1155;CMP-06;youtube;video;3;0;0
SID-00315;12.05.2023;CUST-1317;CMP-05;youtube;video;5;1;0
SID-00316;26.06.2023;CUST-2363;CMP-03;google;cpc;2;1;1
SID-00317;03.12.2023;CUST-1187;(not set);google;cpc;4;1;1
SID-00318;04.10.2023;CUST-1393;(not set);newsletter;email;4;0;0
SID-00319;15.03.2025;CUST-2164;(not set);google;cpc;3;1;0
SID-00320;29.05.2023;CUST-1828;CMP-02;(direct);none;2;1;1
SID-00321;06.06.2024;CUST-1581;(not set);google;cpc;9;1;0
SID-00322;27.05.2024;CUST-1892;(not set);google;cpc;4;1;0
SID-00323;18.02.2025;CUST-2059;CMP-12;newsletter;email;7;1;0
SID-00324;14.04.2024;CUST-2406;(not set);youtube;video;2;0;0
SID-00325;16.02.2024;CUST-1803;CMP-04;(direct);none;3;0;0
SID-00326;22.03.2024;CUST-1122;(not set);instagram;social;2;1;0
SID-00327;24.04.2024;CUST-1164;(not set);newsletter;email;4;1;0
SID-00328;29.03.2023;CUST-1278;(not set);bing;cpc;4;1;0
SID-00329;07.05.2024;CUST-1351;(not set);google;cpc;2;1;0
SID-00330;05.09.2024;CUST-2014;CMP-03;facebook;social;4;1;0
SID-00331;02.01.2024;CUST-2078;CMP-14;youtube;video;9;1;0
SID-00332;17.11.2023;CUST-1403;CMP-13;youtube;video;3;0;0
SID-00333;13.10.2023;CUST-1616;(not set);newsletter;email;3;0;0
SID-00334;05.09.2023;CUST-1946;(not set);bing;cpc;7;1;0
SID-00335;11.11.2023;CUST-1573;(not set);google;cpc;4;1;1
SID-00336;15.02.2023;CUST-1559;CMP-11;google;cpc;3;1;0
SID-00337;07.03.2025;CUST-1390;(not set);youtube;video;7;0;0
SID-00338;02.10.2024;CUST-2053;(not set);facebook;social;2;1;0
SID-00339;28.03.2024;CUST-2494;CMP-10;google;cpc;7;1;0
SID-00340;21.02.2025;CUST-2118;(not set);newsletter;email;9;1;0
SID-00341;02.09.2023;CUST-2089;(not set);newsletter;email;7;1;0
SID-00342;21.11.2023;CUST-1899;(not set);youtube;video;2;0;0
SID-00343;13.07.2023;CUST-1024;(not set);facebook;social;5;1;1
SID-00344;30.12.2023;CUST-2420;(not set);newsletter;email;7;1;0
SID-00345;25.08.2025;CUST-1013;(not set);(direct);none;2;0;0
SID-00346;13.04.2024;CUST-2434;CMP-04;youtube;video;2;0;0
SID-00347;02.01.2024;CUST-1539;(not set);youtube;video;3;0;0
SID-00348;07.12.2023;CUST-2389;(not set);bing;cpc;3;1;0
SID-00349;06.05.2024;CUST-1364;(not set);facebook;social;4;1;0
SID-00350;13.10.2024;CUST-1539;CMP-13;(direct);none;3;1;0
SID-00351;25.08.2025;CUST-1418;(not set);newsletter;email;5;1;1
SID-00352;18.03.2024;CUST-2033;CMP-12;youtube;video;7;1;0
SID-00353;28.12.2024;CUST-1240;(not set);newsletter;email;1;1;0
SID-00354;17.12.2023;CUST-2355;CMP-03;newsletter;email;4;1;0
SID-00355;29.02.2024;CUST-2025;CMP-12;(direct);none;7;1;0
SID-00356;02.03.2024;CUST-1110;(not set);facebook;social;5;0;0
SID-00357;17.11.2024;CUST-1774;(not set);youtube;video;9;0;0
SID-00358;12.05.2023;CUST-1971;CMP-04;instagram;social;3;0;0
SID-00359;16.04.2023;CUST-2492;CMP-08;newsletter;email;2;1;1
SID-00360;05.03.2023;CUST-2064;(not set);google;cpc;1;0;0
SID-00361;23.08.2023;CUST-1685;CMP-11;bing;cpc;4;1;1
SID-00362;10.05.2025;CUST-1810;(not set);google;cpc;2;1;0
SID-00363;10.05.2025;CUST-2237;(not set);google;cpc;9;1;0
SID-00364;27.05.2023;CUST-1537;(not set);bing;cpc;7;0;0
SID-00365;12.09.2024;CUST-2405;(not set);google;cpc;3;0;0
SID-00366;07.05.2025;CUST-1691;CMP-09;youtube;video;3;1;1
SID-00367;04.09.2024;CUST-2001;(not set);bing;cpc;1;0;0
